Lat,Lng,LONG,LAT,Agency_Name,Address,Request_type,Description
43.0596,-76.1256,,,Feedback to the City,"612 Vine St Syracuse, New York, 13203",Please use this space to provide feedback to the City,No snow plow has been through my street in days. Street needs plowing from Boyden St to Lincoln Park 
43.0457,-76.1067,,,Feedback to the City,"516 Salt Springs Rd Syracuse NY 13224, United States",Please use this space to provide feedback to the City,"The blocks fall under the Sidewalk Snow Removal Program but one side of the street's sidewalk always gets skipped. Why?

Additionally, the condition of the skipped sidewalks are extremely poor, it's very difficult for property owners to keep up by hand or with a snowblower.  "
43.0435,-76.0902,,,Feedback to the City,"219 Deforest Rd Syracuse NY 13214, United States",Please use this space to provide feedback to the City,"Please help us on Deforest Road  I know the snow is so difficult but we haven't had a single plow all day and cars are not able to make it home  I've helped 2 elderly people to their homes as I have a pickup truck but the cars at the base of the hill cannot get home  Please keep us in mind with this steep, quick, easy to plow road  Thank you so much Syracuse!r"
43.0301,-76.1141,,,Feedback to the City,"1216 Westmoreland Ave Syracuse, NY 13210, USA",Please use this space to provide feedback to the City,Please actually pick up all of the bags from the trash can. Tonight after I had to get at least 6 inches of snow off the top of the can because they no longer can stay in the garage.  I found that you only took one bag last week. These giant cans are terrible. And much worse with the snow.
43.0188,-76.1257,,,Feedback to the City,"Arnold Ave Syracuse, New York, 13210",Please use this space to provide feedback to the City,Are plows going to be coming down the side streets any time soon? Nothing has come down this street all day. Where are all the plows?
43.0195,-76.1755,,,Feedback to the City,"Mcdonald Rd Syracuse, New York, 13207",Please use this space to provide feedback to the City,Please plow. I work at Hillbrook Detention Center and  trying to safely travel home at 3:30pm. I have to travel down either McDonald or Velasko. Both are slick and mushy. HELP! 
43.0535,-76.125,,,Feedback to the City,"1005 Burnet Ave Syracuse NY 13203, United States",Please use this space to provide feedback to the City,"Burnet Ave eastbound lane between Sherwood and Vine very low cut and associated potholes from water line repair need patched/paved. An employee was injured while traveling this route when he was thrown out of the seat of the payload when struck. If a plow hits it, it is going to hurt and make it worse. "
43.0622,-76.1321,,,Feedback to the City,"1 Brattle Rd Syracuse, New York, 13203",Please use this space to provide feedback to the City,1 and 2 Brattle Road have hazardous sidewalks full of snow. They need to be cleared for walkers especially children walking from nearby schools. The roads are slippery and nobody should have to walk in them when sidewalks are an option.
42.993,-76.1393,,,Feedback to the City,"212 Harding Pl Syracuse, New York, 13205",Please use this space to provide feedback to the City,Trash still hasn’t been picked picked up 
42.9926,-76.1394,,,Feedback to the City,"212 Harding Pl Syracuse, New York, 13205",Please use this space to provide feedback to the City,Closed??  Nothing has happened yet. Trash still hasn’t been picked up 
