Lat,Lng,LONG,LAT,Agency_Name,Address,Request_type,Description
43.0565,-76.1144,,,Housing & Property Maintenance,"1607 Burnet Ave Syracuse NY 13206, United States",Report Trash/Debris Outside a Home/Building,Dangerous construction site...
43.0521,-76.1625,,,Housing & Property Maintenance,"202 1/2 Leavenworth Ave Syracuse, New York, 13204",Vacant Buildings,202 1/2 Leavenworth Ave is again being broken into from the Park Ave entrance. Included in the photos is a photo of the car and it's license plate. The entrance is now open.
43.0478,-76.1071,,,Housing & Property Maintenance,"125 Niven St Syracuse NY 13224, United States",Home & Building Maintenance,"Power outage for over 4 hours already, landlords 4 of them, all within a mile of the property not bothering to respond because the inspection they bribed to pass says the electrical system is fine   It has never been fine.  Ironic, too, since the Health Department and BAA are on their case today .....----"
43.057,-76.1464,,,Housing & Property Maintenance,"700 N Mcbride St Syracuse, New York, 13203",Property Damage- INTERNAL,"Constituent called cityline to report property damage that was caused to a concrete hitching post that was located in the front of his yard. He stated this occurred after his Christmas tree was collected from the street cleaning department. They used the truck to collect the tree, the hitching post was knocked over. He is requesting for a supervisor to reach out to him when they are available so he can discuss his concerns with them. "
43.0791,-76.1432,,,Housing & Property Maintenance,"159 Malverne Dr Syracuse, New York, 13208",Vacant Buildings,House has been sitting noticably vacant for a year. 
42.9929,-76.1441,,,Housing & Property Maintenance,"5318 S Salina St Syracuse NY 13205, United States",Home & Building Maintenance,The new property owner refuses to shovel the sidewalk that runs from Salina Street to next door neighbors home on Fiscoe Ave   I also am sharing a photo from the front door to the sidewalk on Salina St.  The property owner is well aware of me being disabled   
43.0675,-76.1059,,,Housing & Property Maintenance,"145 S Edwards Ave Syracuse NY 13206, United States",Report Trash/Debris Outside a Home/Building,
43.0685,-76.1119,,,Housing & Property Maintenance,"2430 James St Syracuse, NY, 13206, USA",Other Housing & Property Maintenance Concern,Side walk and crosswalk between mobil and food for less blocked by plowed snow
43.0701,-76.1198,,,Housing & Property Maintenance,"George St Syracuse, New York, 13206",Other Housing & Property Maintenance Concern,"George Street needs to be plowed, please. "
43.0791,-76.1432,,,Housing & Property Maintenance,"159 Malverne Dr Syracuse, New York, 13208",Other Housing & Property Maintenance Concern,Owner has not shoveled sidewalk at all. 
