Lat,Lng,LONG,LAT,Agency_Name,Address,Request_type,Description
43.0079,-76.147,,,Sanitation,"198 Anderson Ave Syracuse, New York, 13205",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says her trash and her neighbors' trash was skipped. 
43.0104,-76.1446,,,Sanitation,"177 Ballantyne Rd Syracuse, New York, 13205",Report a Skipped Weekly Trash Pick Up (Internal),Constituent called to report their trash as skipped. No violations. 
43.0215,-76.1639,,,Sanitation,"130 Charmouth Dr Syracuse, New York, 13207",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says her weekly trash was skipped. 
43.0621,-76.0986,,,Sanitation,"500 Plymouth Dr Syracuse, New York, 13206",Report a Skipped Weekly Trash Pick Up (Internal),Reported weekly trash skipped. 
43.0625,-76.0948,,,Sanitation,"1601 Sunnycrest Rd Syracuse, New York, 13206",Report a Skipped Recycling Pick Up (Internal),Skipped Tuesday
43.0627,-76.1574,,,Sanitation,"210 Basin St Syracuse, New York, 13208",Report a Skipped Bulk Pick Up (Internal),Couch skip monday
43.0684,-76.1104,,,Sanitation,"2540 James St Syracuse, New York, 13206",Report a Skipped Weekly Trash Pick Up (Internal),Constituent called to report skipped their trash as skipped. 
43.067,-76.1577,,,Sanitation,"902 N Alvord St Syracuse, New York, 13208",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says his weekly trash was skipped.
43.0701,-76.1088,,,Sanitation,"147 Ashdale Ave Syracuse, New York, 13206",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says her weekly trash was skipped. 
43.0687,-76.1497,,,Sanitation,"709 Pond St Syracuse, New York, 13208",Report a Skipped Bulk Pick Up (Internal),Constituent called to report their scheduled bulk pick up as skipped. No violations. Box spring
43.0637,-76.1372,,,Sanitation,"102 Whitwell Dr Syracuse, New York, 13203",Report a Skipped Bulk Pick Up (Internal),Dresser skipped Monday.   Scheduled in Rubicon
43.0747,-76.1553,,,Sanitation,"816 Turtle St Syracuse, New York, 13208",Report a Skipped Bulk Pick Up (Internal),Scheduled mattress and box spring skipped. 
43.0134,-76.1395,,,Sanitation,"156 E Matson Ave Syracuse, New York, 13205",Report a Skipped Bulk Pick Up (Internal),Constituent says skipped 1/3 and her normal trash was skipped 1/9. 
43.0537,-76.1285,,,Sanitation,"134 Mather St Syracuse, New York, 13203",Report a Skipped Bulk Pick Up (Internal),Constituent says his scheduled bulk was skipped. 
43.0547,-76.1274,,,Sanitation,"338 N Beech St Syracuse, New York, 13203",Report a Skipped Bulk Pick Up (Internal),Bulk skip per constituent scheduled in rubicon. 
43.0486,-76.1047,,,Sanitation,"2717 E Fayette St Syracuse, New York, 13224",Report a Skipped Bulk Pick Up (Internal),Constituent says her bulk was skipped. 
43.0095,-76.155,,,Sanitation,"1025 Ballantyne Rd Syracuse, New York, 13207",Report a Skipped Bulk Pick Up (Internal),Constituent called to report their scheduled bulk pick up as skipped. No violations. The item is a Couch. 
42.9996,-76.1533,,,Sanitation,"1716 Valley Dr Syracuse, New York, 13207",Report a Skipped Bulk Pick Up (Internal),Constituent called to report their scheduled bulk pick up as skipped. No violations. Recliner
43.0537,-76.1808,,,Sanitation,"200 State Fair Blvd Syracuse, New York, 13204",Report a Skipped Recycling Pick Up (Internal),Constituent called to report her recycling as skipped. No violations.  
43.0439,-76.1664,,,Sanitation,"700 Tully St Syracuse, New York, 13204",Report a Skipped Recycling Pick Up (Internal),"Skipped recycling pick up, constituent was advised to leave the cart at the curb. "
43.0561,-76.1951,,,Sanitation,"1001 Willis Ave Syracuse, New York, 13204",Report a Skipped Bulk Pick Up (Internal),"Constituent called cityline to report his bulk pick up as skipped. The item is scheduled into rubicon, it is a mattress and box spring. Constituent was advised to leave the items at the curb. "
43.0376,-76.1783,,,Sanitation,"111 Lydell St Syracuse, New York, 13204",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says his weekly trash is still out at the curb. 
43.0161,-76.1484,,,Sanitation,"2414 Midland Ave Syracuse, New York, 13205",Report a Skipped Bulk Pick Up (Internal),Constituent called to report her trash and bulk recycling as skipped. 
43.0488,-76.1938,,,Sanitation,"417 Cayuga St Syracuse, New York, 13204",Report a Skipped Bulk Pick Up (Internal),Constituent called to report their scheduled bulk pick up as skipped. No violations. The item is a mattress. 
43.0164,-76.1599,,,Sanitation,"255 Valley Dr Syracuse, New York, 13207",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says her weekly trash was skipped. 
43.0223,-76.1631,,,Sanitation,"108 Annetta St Syracuse, New York, 13207",Report a Skipped Recycling Pick Up (Internal),"Constituent called to report his recycling pick up as skipped. Stated trash was collected, recycling was not, constituent was advised to leave the recycling cart at the curb. "
43.0139,-76.1547,,,Sanitation,"191 Baldwin Ave Syracuse, New York, 13205",Report a Skipped Weekly Trash Pick Up (Internal),Constituent called to report his trash pick up as skipped. 
43.0228,-76.168,,,Sanitation,"1828 W Colvin St Syracuse, New York, 13207",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says her weekly trash was skipped. 
