Lat,Lng,LONG,LAT,Agency_Name,Address,Request_type,Description
43.0397,-76.1735,,,Sanitation Carts,"131 Grand Ave Syracuse, New York, 13204",Cart Stolen,Constituent says her trash and recycling cart was stolen. 
43.0556,-76.1965,,,Sanitation Carts,"220 Essex St Syracuse, New York, 13204",Cart Stolen,Constituent says her cart was stolen. 
43.0348,-76.1178,,,Sanitation Carts,"226 Roosevelt Ave Syracuse, New York, 13210",Cart Broken,"Constituent called to report his trash cart broken. Stated that the lid on it is damaged, requesting for it to be repaired/replaced. "
43.0033,-76.1525,,,Sanitation Carts,"118 Cortland Pl Syracuse, New York, 13207",Cart Broken,Constituent says wheel is broken on his cart. 
43.0522,-76.162,,,Sanitation Carts,"300 Park Ave Syracuse, New York, 13204",Cart Broken,Constituent called to report damage to their recycling cart from being hit by a plow. 
43.0328,-76.1797,,,Sanitation Carts,"1504 Bellevue Ave Syracuse, New York, 13204",Cart Broken,Constituent says the cart is broken. She received a violation because it was at the curb. She says sanitation told her to leave it there and it would be replaced. 
43.0528,-76.144,,,Sanitation Carts,"207 N Mcbride St Syracuse, New York, 13203",Cart Stolen,Constituent called to report their trash and recycling carts as stolen. 
43.0125,-76.1476,,,Sanitation Carts,"2823 Midland Ave Syracuse, New York, 13205",Cart Stolen,Constituent called to report their trash cart as stolen. 
43.0624,-76.1487,,,Sanitation Carts,"123 John St Syracuse, New York, 13208",Cart Stolen,Constituent called to report their recycling cart as missing. 
43.0279,-76.1545,,,Sanitation Carts,"414 Kirk Ave Syracuse, New York, 13205",Cart Stolen,Constituent says her trash cart was stolen. 
43.0502,-76.1757,,,Sanitation Carts,"543 Richmond Ave Syracuse, New York, 13204",Cart Stolen,Trash cart reported stolen. 
43.0503,-76.178,,,Sanitation Carts,"207 Lakeview Ave Syracuse, New York, 13204",Cart Broken,Constituent says her recycling cart was damaged by snow falling off of the roof. 
43.0616,-76.147,,,Sanitation Carts,"127 Peters St Syracuse, New York, 13208",Cart Stolen,Constituent called to report their trash cart as stolen. 
43.0531,-76.134,,,Sanitation Carts,"316 Lodi St Syracuse, New York, 13203",Cart Broken,needs lid replaced.  Chunk of ice broke it.
43.0662,-76.1187,,,Sanitation Carts,"125 Cook Ave Syracuse, New York, 13206",Cart Stolen,Trash cart reported stolen. 
43.0209,-76.1301,,,Sanitation Carts,"143 Xavier Cir Syracuse, New York, 13210",Cart Broken,Constituent called to report his recycling cart broken. Stated that the wheel has fell off. Requesting for it to be repaired/replaced. 
43.0415,-76.1642,,,Sanitation Carts,"618 Oswego St Syracuse, New York, 13204",Cart Stolen,Trash cart reported stolen. 
43.0469,-76.1005,,,Sanitation Carts,"879 Salt Springs Rd Syracuse, New York, 13224",Cart Broken,Constituent called to report that the wheel on her trash and recycling cart has fallen off. 
43.0324,-76.1103,,,Sanitation Carts,"730 Crawford Ave Syracuse, New York, 13224",Cart Broken,Constituent said the lid is broken. 
43.0676,-76.106,,,Sanitation Carts,"143 S Edwards Ave Syracuse, New York, 13206",Cart Broken,Constituent stated that there is a hole in the lid of her trash cart. requesting for the lid to be replaced. 
43.0676,-76.106,,,Sanitation Carts,"143 S Edwards Ave Syracuse, NY, 13206, USA",Cart Feedback,"Constituent called to request an additional recycling cart and trash cart to be delivered to this address. Cart logic shows that 139 was delivered two recycling carts, 141 was delivered one recycling cart. Rubicon shows that 139 was delivered two trash carts, and 141 was delivered one trash cart as well. I spoke with assessments, the confirmed that the property is a 4 unit property. Requesting for one trash cart and one recycling cart to be delivered. "
43.0656,-76.1435,,,Sanitation Carts,"1111 Butternut St Syracuse, NY, 13208, USA",Cart Stolen,Thomas Messina can be reached at 315-214-3937. 
43.045,-76.1102,,,Sanitation Carts,"234 Salt Springs Rd Syracuse, New York, 13224",Cart Broken,Constituent says the wheels on his cart have been broken off. 
43.0696,-76.1296,,,Sanitation Carts,"344 Wendell Ter Syracuse, New York, 13203",Cart Broken,Constituent says the wheel on his recycling cart is broken. Caller is requesting a new one. 
43.0547,-76.1305,,,Sanitation Carts,"351 Elm St Syracuse, New York, 13203",Cart Stolen,Constituent called to report her trash cart as missing. 
