Lat,Lng,LONG,LAT,Agency_Name,Address,Request_type,Description
43.0462,-76.1133,-76.1324,43.0404,Water & Sewage,"435 Ellis St Syracuse, New York, 13210",Sewer Back-ups (INTERNAL),Dina 450-3461
43.0552,-76.1708,-76.1299,43.0383,Water & Sewage,"609 N Geddes St Syracuse, New York, 13204",Other Sewer-related Concerns,Jet Flush- Jerry 439-6961
43.0093,-76.1479,,,"Garbage, Recycling & Graffiti","3138 Midland Ave Syracuse NY 13205, United States",Report Improperly Set Out Trash or Recycling (Illegal Setout),
43.079,-76.1572,,,Streets & Transportation,"406 Willumae Dr Syracuse NY 13208, United States",Traffic & Parking Signs,Damaged sign down
43.0553,-76.1379,,,Parking & Vehicles,"300-300 Green St Syracuse, NY, 13203, USA",Report an illegally parked vehicle,Cars parked illegally and not following odd even parking rules in 300 block of Green Street. Also noticed a black sedan parked on this block without plates
43.029,-76.1592,,,Animals,"511 Hudson St Syracuse NY 13207, United States",Animal Control,Dogs are super skinny man still only coming sometimes he comes once a day sometimes he comes every other day not understanding why you guys haven’t done nothing I just seen four of the dogs. I haven’t seen them in two days. I just seen four of the dogs and they’re extremely emaciated extremely skinny except for the one that’s pregnant
43.0079,-76.147,,,Sanitation,"198 Anderson Ave Syracuse, New York, 13205",Report a Skipped Weekly Trash Pick Up (Internal),Constituent says her trash and her neighbors' trash was skipped. 
43.02,-76.1508,,,Water & Sewage,"318 W Brighton Ave Syracuse, New York, 13205",Sewer Back-ups (INTERNAL),"Dan
315-396-1284"
43.02,-76.1404,,,Streets & Transportation,"8310 I-81 Syracuse, NY 13205, USA",Report a Pothole,"large wide pothole on 81 North, Center Lane, where the highway meets the edge of the bridge.  I had previously reported this on the wrong bridge (next one to the north)."
43.0397,-76.1735,,,Sanitation Carts,"131 Grand Ave Syracuse, New York, 13204",Cart Stolen,Constituent says her trash and recycling cart was stolen. 
43.0556,-76.1965,,,Sanitation Carts,"220 Essex St Syracuse, New York, 13204",Cart Stolen,Constituent says her cart was stolen. 
43.0731,-76.1338,,,Water & Sewage,"117 Pleasantview Ave Syracuse, New York, 13208",Other Sewer-related Concerns,caleb- 391-6742 needs a jet flush
43.0654,-76.1525,,,Water & Sewage,"103 Steuben St Syracuse, New York, 13208",Other Sewer-related Concerns,"Stacy (877-1753) Greater Syr Plumbing
Requesting a Flush (Flush#49)
Dispatched to #501"
43.0348,-76.1178,,,Sanitation Carts,"226 Roosevelt Ave Syracuse, New York, 13210",Cart Broken,"Constituent called to report his trash cart broken. Stated that the lid on it is damaged, requesting for it to be repaired/replaced. "
43.0457,-76.1669,,,Water & Sewage,"Seneca St & Marcellus St Syracuse, New York, 13204",Other Sewer-related Concerns,"UFPO
Water Main Repair"
43.0033,-76.1525,,,Sanitation Carts,"118 Cortland Pl Syracuse, New York, 13207",Cart Broken,Constituent says wheel is broken on his cart. 
